supplement,alt name,"evidence level - score. 0 = no evidence, 1,2 = slight, 3 = conflicting , 4 = promising, 5 = good, 6 = strong ",Claimed improved aspect of fitness,fitness category,sport or exercise type tested,OTW,popularity,number of studies examined,number of citations,efficacy,notes,exclude,,Cochrane systematic review,Other International review board or metastudy,no. of studies in Cochrane metastudy,no. of studies in metastudy,year(s) of metastudy,No. of individual studies / reviews,N positive studies / trials,% positive studies/ trials,main study source,Link to main individual study,,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study
Caffeine,,3,high-intensity performance,anaerobic–high-intensity,"weight training, cycling, running",,7250,14,409,,,,,0,0,0,0,-,14,8,57.14%,Astorino et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/696/CN-00786696/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/763/CN-00801763/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/384/CN-00780384/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/753/CN-00741753/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/696/CN-00786696/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/630/CN-00718630/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/144/CN-00638144/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/299/CN-00687299/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/214/CN-00667214/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/954/CN-00576954/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/063/CN-00575063/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/970/CN-00777970/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/646/CN-00785646/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/270/CN-00683270/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/723/CN-00349723/frame.html,,,,,,,
Calcium pyruvate,,0,"body composition, metabolism","fat burning–muscle building, general fitness",other,,571,1,52,,,,,0,0,0,0,-,1,0,0.00%,Koh-Banerjee et al (2005),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/267/CN-00521267/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/267/CN-00521267/frame.html,,,,,,,,,,,,,,,,,,,,
Casein,Casein hydrolysate,5,"muscle  building, endurance, strength","fat burning–muscle building, strength–power, aerobic–endurance","cycling, weight training",,2380,5,40,,"Like whey, casein is a kind of protein found in milk. Some studies have found it to be as effective as whey at muscle building when taken after weight training. ",,,0,0,0,0,-,5,5,100.00%,Reitelseder et al (2011),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/142/CN-00772142/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/142/CN-00772142/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/820/CN-00718820/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/987/CN-00516987/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/190/CN-00297190/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/770/CN-00702770/frame.html,,,,,,,,,,,,,,,,
Chitosan,Gymnema sylvestre,1,"weight + fat loss, cholesterol",fat burning–muscle building,other,OTW,983,1,54,,"Cochrane review: chitosan is more effective than placebo for short-term weight loss, but many studies are poor quality. Results from high quality trials only suggest minimal effect.",,,1,0,15,0,2008,0,-,-,Cochrane Review: Jull et al (2008),http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003892.pub3/abstract,,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003892.pub3/abstract,,,,,,,,,,,,,,,,,,,,
Chromium ,Chromium picolinate,0.5,"high-intensity fitness, weight + fat loss, strength","fat burning–muscle building, aerobic–endurance, anaerobic–high-intensity, strength–power","weight training, running",,4140,10,1220,,Chromium is often used by diabetic people to lower blood sugar but there's no evidence of any ergogenic benefit and only weak evidence it can aid weight loss. ,,,0,1,0,10,2003,10,0,0.00%,Review: Pittler et al (2003),http://onlinelibrary.wiley.com/o/cochrane/cldare/articles/DARE-12003000871/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/596/CN-00742596/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/531/CN-00698531/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/832/CN-00586832/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/585/CN-00409585/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/543/CN-00373543/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/374/CN-00456374/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/029/CN-00278029/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/601/CN-00346601/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/585/CN-00409585/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/374/CN-00456374/frame.html,,,,,,,,,,,
CLA,Conjugated linoleic acid,4,body composition,fat burning–muscle building,other,,3620,11,374,,May help obese people lose fat and gain muscle. Downsides: may also increase markers of inflammation in the short term.,,,0,0,0,0,-,11,6,54.55%,Steck et al (2007),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/134/CN-00588134/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/905/CN-00799905/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/890/CN-00803890/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/749/CN-00762749/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/134/CN-00588134/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/872/CN-00586872/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/834/CN-00617834/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/671/CN-00578671/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/998/CN-00576998/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/237/CN-00469237/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/415/CN-00408415/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/973/CN-00325973/frame.html,,,,,,,,,,
CLA,Conjugated linoleic acid,0,endurance,aerobic–endurance,other,,3620,1,374,,,,,0,0,0,0,-,1,0,0.00%,Colakoglu et al (2006),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/998/CN-00576998/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/998/CN-00576998/frame.html,,,,,,,,,,,,,,,,,,,,
Cordyceps sinensis,"Cordymax Cs4, Cs-4",1,"endurance performance, aerobic capacity",aerobic–endurance,cycling,OTW,1070,2,7,,,,,0,0,0,0,-,2,1,50.00%,Chen et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/044/CN-00769044/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/044/CN-00769044/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/443/CN-00468443/frame.html,,,,,,,,,,,,,,,,,,,
Creatine,Creatine monohydrate (sometimes creatine pyruvate or citrate),2,aerobic endurance,aerobic–endurance,"cycling, rowing, running",,1590,3,5090,,,,,0,0,0,0,-,3,2,66.67%,Murphy et al (2005),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/443/CN-00531443/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/443/CN-00531443/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/200/CN-00440200/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/651/CN-00377651/frame.html,,,,,,,,,,,,,,,,,,
Creatine,Creatine monohydrate (sometimes creatine pyruvate or citrate),3,high-intensity performance,anaerobic–high-intensity,"running, cycling, circuit training, rowing, other",,1590,11,5090,,,,,0,0,0,0,-,11,5,45.45%,Fukuda et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/122/CN-00762122/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/122/CN-00762122/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/509/CN-00734509/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/972/CN-00587972/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/957/CN-00563957/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/821/CN-00488821/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/200/CN-00440200/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/060/CN-00559060/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/915/CN-00518915/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/751/CN-00377751/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/872/CN-00377872/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/362/CN-00425362/frame.html,,,,,,,,,,
Creatine,Creatine monohydrate (sometimes creatine pyruvate or citrate),0,muscle damage + recovery,recovery–injury prevention,weight training,,1590,2,5090,,,,,0,0,0,0,-,2,0,0.00%,Rawson et al (2007),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/432/CN-00647432/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/432/CN-00647432/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/461/CN-00375461/frame.html,,,,,,,,,,,,,,,,,,,
Creatine,Creatine monohydrate (sometimes creatine pyruvate or citrate),5,"strength, power, neuromuscular function",strength–power,"weight training, other",,1590,19,5090,,,,,0,0,0,0,-,19,12,63.16%,Kurosawa et al (2003),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/620/CN-00558620/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/491/CN-00743491/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/637/CN-00813637/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/970/CN-00648970/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/016/CN-00642016/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/481/CN-00571481/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/998/CN-00521998/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/357/CN-00562357/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/312/CN-00435312/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/620/CN-00558620/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/578/CN-00422578/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/878/CN-00474878/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/762/CN-00472762/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/158/CN-00436158/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/651/CN-00377651/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/009/CN-00377009/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/168/CN-00376168/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/872/CN-00377872/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/857/CN-00371857/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/289/CN-00372289/frame.html,,
Creatine,Creatine monohydrate (sometimes creatine pyruvate or citrate),5,muscle mass,fat burning–muscle building,"weight training, rowing",,1590,12,5090,,"Creatine helps you bulk up. Downsides: weight gain (if that's not what you want), it's expensive and some studies suggest it works better in men than women.",,,0,0,0,0,-,12,9,75.00%,Chilibeck et al (2004),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/754/CN-00503754/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/754/CN-00503754/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/491/CN-00743491/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/016/CN-00642016/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/821/CN-00488821/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/578/CN-00422578/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/878/CN-00474878/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/915/CN-00518915/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/762/CN-00472762/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/158/CN-00436158/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/168/CN-00376168/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/872/CN-00377872/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/520/CN-00275520/frame.html,,,,,,,,,
Creatine pyruvate,,0,repeated sprint performance,aerobic–endurance,cycling,,245,1,18,,,,,0,0,0,0,-,1,0,0.00%,Van Schuylenbergh et al (2003),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/260/CN-00436260/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/260/CN-00436260/frame.html,,,,,,,,,,,,,,,,,,,,
DHEA,"Dehydroepiandrosterone, 7-DHEA",1,strength + muscle mass in the elderly,"general fitness, strength–power, fat burning–muscle building","weight training, other",OTW,3820,2,601,,"DHEA combined with exercise – such as weight training, yoga or chair aerobics – can improve muscle strength and function in elderly people. ",,,0,0,0,0,-,2,2,100.00%,Kenny et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/558/CN-00760558/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/558/CN-00760558/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/836/CN-00570836/frame.html,,,,,,,,,,,,,,,,,,,
DHEA,"Dehydroepiandrosterone, 7-DHEA",0,general fitness in older adults,general fitness,"weight training, other",,3820,2,601,,,,,0,0,0,0,-,2,0,0.00%,Igwebuike et al (2008),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/464/CN-00628464/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/464/CN-00628464/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/461/CN-00374461/frame.html,,,,,,,,,,,,,,,,,,,
Fish oil,omega 3 PUFAs,0,metabolism,general fitness,cycling,,10800,1,3090,,,,,0,0,0,0,-,1,0,0.00%,Bortolotti et al (2007),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/722/CN-00586722/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/722/CN-00586722/frame.html,,,,,,,,,,,,,,,,,,,,
Fish oil,omega 3 PUFAs,3,cardio fitness markers,general fitness,"football, cycling",,10800,4,3090,,"Omega-3-rich fish oil can improve heart function, lower cardio risk factors, lower heart rate and oxygen consumption and improve heart rate variability during exercise.",,,0,0,0,0,-,4,4,100.00%,Peoples et al (2008),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/761/CN-00668761/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/487/CN-00733487/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/761/CN-00668761/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/848/CN-00647848/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/706/CN-00588706/frame.html,,,,,,,,,,,,,,,,,
Fish oil,omega 3 PUFAs,0,endurance,aerobic–endurance,"football, cycling",,10800,3,3090,,,,,0,0,0,0,-,3,0,0.00%,Buckley et al (2009),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/487/CN-00733487/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/487/CN-00733487/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/406/CN-00732406/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/761/CN-00668761/frame.html,,,,,,,,,,,,,,,,,,
Fish oil,omega 3 PUFAs,1,body fat,fat burning–muscle building,other,OTW,10800,1,3090,,"A 2007 study of overweight adults found 12 weeks of fish oil alone reduced body fat, but subjects lost more fat when fish oil was combined with walking exercise.",,,0,0,0,0,-,1,1,100.00%,Hill et al (2007),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/706/CN-00588706/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/706/CN-00588706/frame.html,,,,,,,,,,,,,,,,,,,,
Fish oil,omega 3 PUFAs,2,inflammation + muscle soreness,recovery–injury prevention,"weight training, cycling, swimming",,10800,6,3090,,"Although commonly believed to lower inflammation, evidence for fish oil's anti-inflammatory effect during or after exercise is weak. ",,,0,0,0,0,-,6,2,33.33%,Andrade et al (2007),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/010/CN-00620010/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/821/CN-00443821/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/406/CN-00732406/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/010/CN-00620010/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/406/CN-00732406/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/646/CN-00451646/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/573/CN-00330573/frame.html,,,,,,,,,,,,,,,
Forskolin,Coleus Forskohlii,1,weight loss in overweight men,fat burning–muscle building,other,OTW,286,1,13,,,,,0,0,0,0,-,1,1,100.00%,Godard et al (2005),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/808/CN-00529808/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/808/CN-00529808/frame.html,,,,,,,,,,,,,,,,,,,,
Glutamine,,0,"strength, muscle mass","strength–power, fat burning–muscle building","weight training, other",,3610,3,1720,,,,,0,0,0,0,-,3,0,0.00%,Candow et al (2001),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/433/CN-00388433/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/433/CN-00388433/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/952/CN-00576952/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/754/CN-00377754/frame.html,,,,,,,,,,,,,,,,,,
Glycerol,,1,endurance,aerobic–endurance,other,OTW,851,1,99,,"May improve performance in endurance sports by enhancing water retention, but more research is needed.",,,0,1,0,? full paper not available,2007,1,-,-,Review: Goulet et al (2007),http://onlinelibrary.wiley.com/o/cochrane/cldare/articles/DARE-12007009325/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/cldare/articles/DARE-12007009325/frame.html,,,,,,,,,,,,,,,,,,,,
GP L-Carnitine,"Glycine propionyl-L-carnitine, L-carnitine L-tartrate",1,"metabolism, fitness markers","fat burning–muscle building, general fitness",other,OTW,310,2,1300,,,,,0,0,0,0,-,2,0.5,25.00%,Bloomer et al (2009),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/504/CN-00742504/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/183/CN-00761183/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/504/CN-00742504/frame.html,,,,,,,,,,,,,,,,,,,
GP L-Carnitine,"Glycine propionyl-L-carnitine, L-carnitine L-tartrate",0,aerobic + anaerobic performance,"aerobic–endurance, anaerobic-high-intensity",other,,310,1,1300,,,,,0,0,0,0,-,1,0,0.00%,Smith et al (2008),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/080/CN-00630080/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/080/CN-00630080/frame.html,,,,,,,,,,,,,,,,,,,,
Green tea extract,Catechins,0,endurance,aerobic–endurance,cycling,,2990,2,38,,,,,0,0,0,0,-,2,0,0.00%,Eichenberger et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/171/CN-00749171/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/171/CN-00749171/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/082/CN-00734082/frame.html,,,,,,,,,,,,,,,,,,,
Green tea extract,Catechins,3,"fat burning, oxidative stress reduction","fat burning–muscle building, recovery–injury prevention","cycling, weight training",,2990,5,38,,"In combination with regular aerobic exercise, the catechins and polyphenols in green tea may enhance metabolism of fat – especially abdominal fat – and reduce oxidative stress, which can contribute to injury.",,,0,0,0,0,-,5,3.5,70.00%,Eichenberger et al (2009),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/692/CN-00722692/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/692/CN-00722692/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/447/CN-00813447/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/720/CN-00668720/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/082/CN-00734082/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/306/CN-00638306/frame.html,,,,,,,,,,,,,,,,
HCA,"Garcinia cambogi, (-)-Hydroxycitrate",3,fat burning,fat burning–muscle building,cycling,,675,4,54,,"Studies of HCA found it increased fat burning during exercise and prevented new fat cells from forming, even when the experimental subjects overate.",,,0,0,0,0,-,4,3,75.00%,Kovacs and Westerterp-Plantenga (2006) ,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/560/CN-00565560/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/560/CN-00565560/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/635/CN-00457635/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/431/CN-00409431/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/518/CN-00384518/frame.html,,,,,,,,,,,,,,,,,
HCA,"Garcinia cambogi, (-)-Hydroxycitrate",1,endurance,aerobic–endurance,cycling,OTW,675,2,54,,"May fire up fat metabolism, sparing carbohydrate fuel and allowing you to exercise for longer before getting exhausted.",,,0,0,0,0,-,2,2,100.00%,Lim et al (2003),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/635/CN-00457635/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/635/CN-00457635/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/431/CN-00409431/frame.html,,,,,,,,,,,,,,,,,,,
HMB,β-Hydroxy-β-Methylbutyrate,3,strength,strength–power,weight training,,809,4,327,,A 2009 meta-analysis of 9 studies found HMB plus weight training  caused small leg strength gains in untrained men but not trained weightlifters. ,,,0,3,0,9,2009,1,-,-,Meta-analysis: Rowlands and Thomson (2009),http://www.ncbi.nlm.nih.gov/pubmed/19387395,,http://www.ncbi.nlm.nih.gov/pubmed/19387395,http://www.nutritionandmetabolism.com/content/pdf/1743-7075-5-1.pdf,http://www.ncbi.nlm.nih.gov/pubmed/21327797,http://www.jissn.com/content/pdf/1550-2783-7-7.pdf,,,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/11599506,http://www.ncbi.nlm.nih.gov/pubmed/10978853,http://www.ncbi.nlm.nih.gov/pubmed/11128859,http://www.ncbi.nlm.nih.gov/pubmed/19387396,http://www.ncbi.nlm.nih.gov/pubmed/12580653,http://www.ncbi.nlm.nih.gov/pubmed/16004832,http://www.ncbi.nlm.nih.gov/pubmed/10978853,
HMB,β-Hydroxy-β-Methylbutyrate,1,muscle damage,recovery–injury prevention,weight training,,809,3,327,,,,,0,1,0,9,2009,2,-,-,Meta-analysis: Rowlands and Thomson (2009),http://www.ncbi.nlm.nih.gov/pubmed/19387395,,http://www.ncbi.nlm.nih.gov/pubmed/19387395,http://www.ncbi.nlm.nih.gov/pubmed/11007567,http://www.ncbi.nlm.nih.gov/pubmed/21327797,,,,,,,background sources:,http://www.ncbi.nlm.nih.gov/pubmed/10978853,,,,,,,,,,
HMB,β-Hydroxy-β-Methylbutyrate,0.5,aerobic fitness,aerobic–endurance,"weight training, cycling, other",,809,3,327,,,,,0,1,0,9,2009,2,-,-,Portal et al (2011),http://www.ncbi.nlm.nih.gov/pubmed/21327797,,http://www.ncbi.nlm.nih.gov/pubmed/21327797,http://www.ncbi.nlm.nih.gov/pubmed/20857835,http://www.ncbi.nlm.nih.gov/pubmed/21327797,,,,,,,background sources:,http://www.ncbi.nlm.nih.gov/pubmed/17469236,http://www.ncbi.nlm.nih.gov/pubmed/11726262,,,,,,,,,
HMB,β-Hydroxy-β-Methylbutyrate,2,"muscle building, fat loss",fat burning–muscle building,"weight training, other",,809,4,327,,,,,0,3,0,9,2009,1,-,-,Meta-analysis: Rowlands and Thomson (2009),http://www.ncbi.nlm.nih.gov/pubmed/19387395,,http://www.ncbi.nlm.nih.gov/pubmed/19387395,http://www.nutritionandmetabolism.com/content/pdf/1743-7075-5-1.pdf,http://www.ncbi.nlm.nih.gov/pubmed/21327797,http://www.jissn.com/content/pdf/1550-2783-7-7.pdf,,,,,,background sources:,http://www.ncbi.nlm.nih.gov/pubmed/17469236,http://www.ncbi.nlm.nih.gov/pubmed/20857835,http://www.ncbi.nlm.nih.gov/pubmed/12580653,http://jn.nutrition.org/content/131/7/2049.full.pdf,http://www.ncbi.nlm.nih.gov/pubmed/11599506,http://www.ncbi.nlm.nih.gov/pubmed/11128859,http://www.ncbi.nlm.nih.gov/pubmed/19387396,http://www.ncbi.nlm.nih.gov/pubmed/12580653,,,
HMB + creatine,,1,"muscle mass, strength","fat burning–muscle building, strength–power",weight training,OTW,55,1,30,,A 2001 paper found creatine and HMB together can increase lean body mass and strength more than either supplement alone. They may act by different mechanisms.,,,0,0,0,0,-,1,1,100.00%,Jówko et al (2001),http://www.ncbi.nlm.nih.gov/pubmed/11448573,,http://www.ncbi.nlm.nih.gov/pubmed/11448573,,,,,,,,,,,,,,,,,,,,
HMB + KIC,β-Hydroxy-β-Methylbutyrate + alpha-Ketoisocaproate,1,"soreness, muscle damage",recovery–injury prevention,"running, weight training",OTW,0,2,14,,,,,0,0,0,0,-,2,1.5,75.00%,Nunan et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/832/CN-00741832/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/832/CN-00741832/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/937/CN-00531937/frame.html,,,,,,,,,,,,,,,,,,,
Isoflavones,,1,"inflammation, oxidative stress",recovery–injury prevention,running,,2160,3,469,,,,,0,0,0,0,-,3,1,33.33%,Beavers et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/594/CN-00749594/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/594/CN-00749594/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/481/CN-00511481/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/691/CN-00424691/frame.html,,,,,,,,,,,,,,,,,,
